"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Active cases","Currently hospitalized","Currently in ICU","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"433",2021-05-12,15295,4376528,1593,214709,24390,715,167,2140,6,412,10.72
"434",2021-05-13,15067,4391595,1481,216190,23697,709,168,2146,6,395,10.21
"435",2021-05-14,12963,4404558,1238,217428,22833,684,170,2149,3,312,9.8
"436",2021-05-15,11885,4416443,1127,218555,22110,660,178,2152,3,351,9.81
"437",2021-05-16,7011,4423454,718,219273,21123,669,174,2156,4,242,10.47
"438",2021-05-17,8103,4431557,920,220193,19899,688,180,2161,5,364,11.64
"439",2021-05-18,10422,4441979,956,221149,18728,682,182,2165,4,275,9.34
"440",2021-05-19,9064,4451043,828,221977,17606,671,174,2167,2,277,9.52
"441",2021-05-20,10178,4461221,759,222736,16522,644,172,2172,5,289,7.83
"442",2021-05-21,9541,4470762,635,223371,15464,618,161,2180,8,269,6.95
"443",2021-05-22,6960,4477722,552,223923,14489,586,158,2187,7,199,8.2
"444",2021-05-23,5096,4482818,449,224372,13567,573,157,2195,8,182,9.01
"445",2021-05-24,4015,4486833,388,224760,12045,566,155,2201,6,206,10.21
"446",2021-05-25,5989,4492822,407,225167,10947,544,153,2205,4,208,7.16
"447",2021-05-26,9031,4501853,539,225706,10022,535,149,2207,2,436,6.2
"448",2021-05-27,7711,4509564,536,226242,9277,514,146,2214,7,418,7.03
"449",2021-05-28,6893,4516457,410,226652,8477,479,139,2219,5,295,6.12
"450",2021-05-29,6594,4523051,393,227045,8075,447,137,2222,3,312,6.19
"451",2021-05-30,4414,4527465,259,227304,7643,441,131,2226,4,203,5.98
"452",2021-05-31,4118,4531583,215,227519,6777,439,125,2228,2,165,5.54
"453",2021-06-01,8361,4539944,433,227952,6325,439,122,2231,3,346,5.76
"454",2021-06-02,6811,4546755,309,228261,5841,410,119,2242,11,248,4.62
"455",2021-06-03,5815,4552570,243,228504,5421,378,109,2244,2,183,4.04
"456",2021-06-04,6873,4559443,298,228802,5077,370,103,2245,1,242,4.79
"457",2021-06-05,5337,4564780,232,229034,4886,364,97,2246,1,183,4.57
"458",2021-06-06,4026,4568806,158,229192,4698,353,94,2250,4,122,3.95
"459",2021-06-07,3443,4572249,142,229334,4429,339,85,2253,3,105,4.21
"460",2021-06-08,8549,4580798,319,229653,4215,333,83,2255,2,262,3.9
"461",2021-06-09,5493,4586291,171,229824,3812,311,82,2260,5,121,3.17
"462",2021-06-10,6678,4592969,176,230000,3540,300,79,2265,5,125,2.8
"463",2021-06-11,5476,4598445,180,230180,3266,292,74,2266,1,137,3.29
"464",2021-06-12,5803,4604248,162,230342,3193,274,75,2268,2,121,2.91
"465",2021-06-13,3323,4607571,114,230456,3097,274,73,2272,4,82,4
"466",2021-06-14,4482,4612053,126,230582,2811,275,68,2277,5,92,3.06
"467",2021-06-15,6708,4618761,147,230729,2645,261,67,2281,4,108,2.16
"468",2021-06-16,6047,4624808,152,230881,2479,246,59,2281,0,106,2.45
"469",2021-06-17,5578,4630386,119,231000,2338,242,58,2288,7,84,2.19
"470",2021-06-18,5059,4635445,118,231118,2174,227,49,2289,1,77,2.51
"471",2021-06-19,4877,4640322,86,231204,2131,217,52,2289,0,54,1.76
"472",2021-06-20,2837,4643159,50,231254,2003,218,56,2292,3,38,1.9
"473",2021-06-21,5017,4648176,67,231321,1769,207,55,2292,0,51,1.34
"474",2021-06-22,6335,4654511,100,231421,1676,203,55,2292,0,72,1.63
"475",2021-06-23,5720,4660231,76,231497,1586,195,51,2292,0,40,1.43
"476",2021-06-24,7072,4667303,93,231590,1495,185,47,2293,1,60,1.43
"477",2021-06-25,6086,4673389,77,231667,1390,184,46,2295,2,49,1.38
"478",2021-06-26,4587,4677976,45,231712,1331,175,41,2296,1,33,0.98
"479",2021-06-27,4488,4682464,38,231750,1264,179,38,2299,3,27,0.85
"480",2021-06-28,3451,4685915,59,231809,1148,170,36,2300,1,32,1.54
"481",2021-06-29,6333,4692248,76,231885,1069,163,34,2300,0,51,1.12
"482",2021-06-30,5248,4697496,59,231944,1004,152,35,2300,0,39,1.28
"483",2021-07-01,5492,4702988,37,231981,900,142,33,2303,3,27,0.69
"484",2021-07-02,3931,4706919,35,232016,836,138,31,2303,0,26,1.04
"485",2021-07-03,4208,4711127,52,232068,836,135,31,2303,0,32,1.26
"486",2021-07-04,4268,4715395,39,232107,827,133,33,2304,1,19,0.94
"487",2021-07-05,4418,4719813,37,232144,761,135,32,2304,0,24,0.79
"488",2021-07-06,6162,4725975,64,232208,739,137,30,2305,1,36,0.88
"489",2021-07-07,5898,4731873,48,232256,694,127,31,2305,0,34,0.86
"490",2021-07-08,7316,4739189,57,232313,676,122,34,2305,0,29,0.78
"491",2021-07-09,5842,4745031,35,232348,644,113,34,2305,0,19,0.62
"492",2021-07-10,6021,4751052,30,232378,639,113,32,2305,0,13,0.5
"493",2021-07-11,4012,4755064,30,232408,621,107,33,2308,3,16,0.75
"494",2021-07-12,4994,4760058,32,232440,593,107,32,2308,0,12,0.7
"495",2021-07-13,6858,4766916,34,232474,560,107,32,2309,1,21,0.52
"496",2021-07-14,6214,4773130,49,232523,566,102,30,2311,2,30,0.8
"497",2021-07-15,6371,4779501,52,232575,575,105,27,2312,1,29,0.89
"498",2021-07-16,5513,4785014,49,232624,571,103,27,2313,1,31,0.94
"499",2021-07-17,5355,4790369,40,232664,577,101,27,2314,1,25,0.82
"500",2021-07-18,4347,4794716,41,232705,589,99,27,2314,0,32,1.01
"501",2021-07-19,5008,4799724,61,232766,591,96,27,2314,0,38,1.22
"502",2021-07-20,6483,4806207,88,232854,637,94,27,2316,2,65,1.47
"503",2021-07-21,6626,4812833,96,232950,664,90,26,2318,2,76,1.45
"504",2021-07-22,7621,4820454,166,233116,793,83,26,2318,0,148,2.27
"505",2021-07-23,6082,4826536,144,233260,904,84,23,2319,1,116,2.48
"506",2021-07-24,6290,4832826,135,233395,1003,80,22,2319,0,122,2.18
"507",2021-07-25,5370,4838196,91,233486,1061,81,21,2319,0,79,1.75
"508",2021-07-26,5427,4843623,137,233623,1155,83,21,2320,1,111,2.52
"509",2021-07-27,7131,4850754,205,233828,1321,84,18,2320,0,180,2.94
"510",2021-07-28,7864,4858618,222,234050,1496,88,20,2322,2,190,2.9
"511",2021-07-29,8291,4866909,197,234247,1644,89,19,2322,0,162,2.48
"512",2021-07-30,6701,4873610,236,234483,1813,92,18,2323,1,214,3.69
"513",2021-07-31,6027,4879637,223,234706,1992,91,17,2323,0,198,3.83
"514",2021-08-01,4392,4884029,141,234847,2085,91,20,2323,0,133,3.39
"515",2021-08-02,4478,4888507,124,234971,2141,90,23,2323,0,105,2.79
"516",2021-08-03,5434,4893941,204,235175,2246,98,23,2323,0,187,3.9
"517",2021-08-04,7476,4901417,396,235571,2493,103,24,2324,1,356,5.56
"518",2021-08-05,7298,4908715,364,235935,2687,112,26,2326,2,327,5.23
"519",2021-08-06,7801,4916516,391,236326,2933,118,26,2328,2,345,5.19
"520",2021-08-07,7708,4924224,375,236701,3204,117,24,2328,0,335,5.11
"521",2021-08-08,4472,4928696,241,236942,3336,129,27,2329,1,210,5.59
"522",2021-08-09,5446,4934142,286,237228,3431,135,29,2329,0,251,5.6
"523",2021-08-10,8639,4942781,500,237728,3736,142,32,2329,0,456,6.2
"524",2021-08-11,8606,4951387,548,238276,4068,155,36,2329,0,479,6.66
"525",2021-08-12,9314,4960701,579,238855,4405,158,38,2329,0,515,6.3
"526",2021-08-13,8016,4968717,567,239422,4774,161,39,2331,2,520,7.32
"527",2021-08-14,7152,4975869,450,239872,5061,157,44,2331,0,407,6.36
"528",2021-08-15,5331,4981200,388,240260,5299,172,44,2333,2,364,7.52
"529",2021-08-16,5494,4986694,410,240670,5577,185,45,2333,0,352,7.86
"530",2021-08-17,9229,4995923,668,241338,5873,192,48,2335,2,594,7.83
"531",2021-08-18,10007,5005930,818,242156,6312,208,44,2340,5,742,8.56
"532",2021-08-19,9034,5014964,747,242903,6649,230,47,2342,2,678,8.61
"533",2021-08-20,8977,5023941,807,243710,7099,247,47,2343,1,735,9.49
"534",2021-08-21,8423,5032364,677,244387,7525,243,49,2345,2,609,8.42
"535",2021-08-22,5617,5037981,467,244854,7706,256,54,2349,4,433,9.01
"536",2021-08-23,6028,5044009,641,245495,7875,274,58,2354,5,570,11.1
"537",2021-08-24,11789,5055798,1073,246568,8441,301,59,2358,4,979,9.62
"538",2021-08-25,10600,5066398,1099,247667,9011,320,64,2359,1,950,10.79
"539",2021-08-26,11592,5077990,1164,248831,9596,346,73,2363,4,1049,10.46
"540",2021-08-27,11448,5089438,1222,250053,10304,371,85,2367,4,1106,11.22
"541",2021-08-28,9543,5098981,952,251005,10876,396,87,2371,4,850,10.32
"542",2021-08-29,8356,5107337,862,251867,11359,421,97,2374,3,787,10.7
"543",2021-08-30,7514,5114851,915,252782,11584,454,106,2381,7,840,12.74
"544",2021-08-31,12170,5127021,1337,254119,12242,492,108,2387,6,1188,11.32
"545",2021-09-01,12472,5139493,1335,255454,12817,515,116,2390,3,1228,11.14
"546",2021-09-02,12627,5152120,1412,256866,13439,554,119,2395,5,1269,11.79
"547",2021-09-03,10474,5162594,1309,258175,13965,580,128,2403,8,1164,13.06
"548",2021-09-04,12866,5175460,1443,259618,14940,596,133,2413,10,1326,11.55
"549",2021-09-05,7526,5182986,813,260431,15177,611,137,2423,10,739,11.27
"550",2021-09-06,10452,5193438,1296,261727,15370,638,140,2432,9,1187,12.95
"551",2021-09-07,10778,5204216,1219,262946,15560,687,148,2439,7,1070,11.81
"552",2021-09-08,13851,5218067,1495,264441,15902,704,152,2446,7,1337,11.27
"553",2021-09-09,13681,5231748,1466,265907,16187,718,167,2456,10,1256,11.22
"554",2021-09-10,14590,5246338,1645,267552,16649,765,179,2465,9,872,11.76
"555",2021-09-11,12218,5258556,1478,269030,17399,782,183,2470,5,890,12.42
"556",2021-09-12,13372,5271928,1578,270608,18273,831,198,2481,11,576,12.21
"557",2021-09-13,11942,5283870,1416,272024,18134,850,213,2494,13,466,12.4
"558",2021-09-14,15897,5299767,1633,273657,18334,899,219,2506,12,633,10.78
"559",2021-09-15,16431,5316198,1721,275378,18630,922,221,2522,16,672,10.92
"560",2021-09-16,17395,5333593,1998,277376,19103,940,218,2536,14,706,11.92
"561",2021-09-17,16432,5350025,1596,278972,19246,948,214,2551,15,690,10.14
"562",2021-09-18,16562,5366587,1586,280558,20018,959,204,2566,15,681,9.94
"563",2021-09-19,13449,5380036,1429,281987,20491,985,219,2583,17,585,11.13
"564",2021-09-20,13723,5393759,1519,283506,20801,1023,223,2597,14,561,11.63
"565",2021-09-21,14584,5408343,1315,284821,20162,1063,235,2616,19,640,9.37
"566",2021-09-22,18000,5426343,1689,286510,20090,1080,232,2626,10,714,9.76
"567",2021-09-23,16951,5443294,1670,288180,19976,1096,245,2637,11,710,10.26
"568",2021-09-24,15935,5459229,1873,290053,20035,1096,247,2654,17,733,12.19
"569",2021-09-25,14884,5474113,1525,291578,20399,1071,254,2669,15,551,10.61
"570",2021-09-26,15085,5489198,1742,293320,21187,1093,256,2687,18,646,12.03
"571",2021-09-27,11180,5500378,1270,294590,20424,1128,250,2699,12,534,11.73
"572",2021-09-28,15081,5515459,1706,296296,20238,1101,257,2714,15,580,11.66
"573",2021-09-29,17650,5533109,1720,298016,20195,1100,253,2732,18,756,10.18
"574",2021-09-30,15893,5549002,1649,299665,20170,1085,255,2745,13,623,10.73
"575",2021-10-01,14551,5563553,1608,301273,20224,1080,251,2759,14,656,11.39
"576",2021-10-02,14346,5577899,1282,302555,20435,1105,247,2787,28,511,9.36
"577",2021-10-03,10443,5588342,1128,303683,20584,1095,246,2800,13,437,11.17
"578",2021-10-04,8042,5596384,697,304380,19406,1110,240,2815,15,389,9.05
"579",2021-10-05,15433,5611817,1260,305640,18888,1109,236,2824,9,591,8.46
"580",2021-10-06,15643,5627460,1236,306876,18371,1107,240,2835,11,624,8.34
"581",2021-10-07,14778,5642238,1263,308139,17805,1100,241,2852,17,598,8.93
"582",2021-10-08,13999,5656237,1080,309219,17057,1073,243,2866,14,506,8.03
"583",2021-10-09,11651,5667888,1039,310258,17094,1034,231,2880,14,447,9.28
"584",2021-10-10,7744,5675632,631,310889,16701,1063,234,2901,21,329,8.73
"585",2021-10-11,7368,5683000,601,311490,15243,1063,230,2922,21,259,8.59
"586",2021-10-12,8651,5691651,654,312144,14182,1049,225,2935,13,283,7.93
"587",2021-10-13,12755,5704406,931,313075,13410,1030,224,2948,13,436,7.61
"588",2021-10-14,14079,5718485,1038,314113,12954,1012,221,2961,13,504,7.67
"589",2021-10-15,11646,5730131,772,314885,12385,1000,216,2978,17,379,6.96
"590",2021-10-16,11449,5741580,789,315674,12362,981,208,2985,7,396,7.07
"591",2021-10-17,7184,5748764,602,316276,12263,987,217,2995,10,262,8.76
"592",2021-10-18,8045,5756809,528,316804,11370,974,210,3007,12,298,6.84
"593",2021-10-19,12129,5768938,809,317613,10819,938,200,3017,10,428,6.8
"594",2021-10-20,11911,5780849,770,318383,10432,912,195,3027,10,360,6.72
"595",2021-10-21,10748,5791597,663,319046,10053,894,186,3034,7,319,6.22
"596",2021-10-22,10805,5802402,705,319751,9831,863,186,3044,10,323,6.75
"597",2021-10-23,8705,5811107,508,320259,9713,834,190,3058,14,260,6.19
"598",2021-10-24,6438,5817545,366,320625,9487,829,174,3069,11,178,6.06
"599",2021-10-25,7798,5825343,456,321081,9289,841,172,3077,8,240,6.09
"600",2021-10-26,11367,5836710,628,321709,8752,816,173,3083,6,316,5.68
"601",2021-10-27,10290,5847000,544,322253,8413,790,174,3096,13,269,5.46
"602",2021-10-28,10524,5857524,606,322859,8187,772,168,3102,6,277,6.03
"603",2021-10-29,9399,5866923,531,323390,7900,744,161,3111,9,283,5.95
"604",2021-10-30,8253,5875176,330,323720,7709,706,154,3122,11,164,4.14
"605",2021-10-31,6728,5881904,339,324059,7591,697,150,3127,5,153,5.29
"606",2021-11-01,7546,5889450,325,324384,6928,702,154,3132,5,161,4.55
"607",2021-11-02,10362,5899812,495,324879,6706,703,145,3138,6,260,4.96
"608",2021-11-03,12410,5912222,540,325419,6526,685,137,3143,5,269,4.56
"609",2021-11-04,11508,5923730,472,325891,6393,665,134,3148,5,218,4.23
"610",2021-11-05,11493,5935223,586,326477,6370,661,131,3153,5,271,5.22
"611",2021-11-06,8972,5944195,433,326910,6455,634,132,3161,8,211,4.97
"612",2021-11-07,5521,5949716,289,327199,6378,612,127,3165,4,138,5.22
"613",2021-11-08,8340,5958056,424,327623,6084,614,122,3172,7,188,5.24
"614",2021-11-09,11175,5969231,502,328125,6022,592,118,3177,5,207,4.56
"615",2021-11-10,11592,5980823,468,328593,5892,572,108,3183,6,226,4.14
"616",2021-11-11,8847,5989670,376,328969,5756,558,103,3190,7,169,4.37
"617",2021-11-12,7975,5997645,436,329405,5757,546,100,3191,1,194,5.69
"618",2021-11-13,7149,6004794,357,329762,5830,531,96,3200,9,136,5.06
"619",2021-11-14,6688,6011482,289,330051,5835,522,95,3205,5,143,4.53
"620",2021-11-15,6427,6017909,322,330373,5573,527,96,3209,4,174,5.12
"621",2021-11-16,9743,6027652,415,330788,5531,520,93,3211,2,182,4.37
"622",2021-11-17,8965,6036617,385,331173,5396,508,86,3213,2,199,4.43
"623",2021-11-18,8687,6045304,417,331590,5309,497,85,3217,4,203,4.98
"624",2021-11-19,9452,6054756,467,332057,5318,486,87,3222,5,213,5.18
"625",2021-11-20,7621,6062377,379,332436,5341,466,83,3224,2,175,5.2
"626",2021-11-21,4838,6067215,270,332706,5298,473,90,3232,8,137,5.91
"627",2021-11-22,5325,6072540,271,332977,4982,484,87,3234,2,144,5.41
"628",2021-11-23,10434,6082974,473,333450,5021,478,89,3235,1,318,4.64
"629",2021-11-24,9617,6092591,395,333845,4967,470,90,3238,3,340,4.28
"630",2021-11-25,8713,6101304,361,334206,5017,469,82,3242,4,319,4.29
"631",2021-11-26,7491,6108795,325,334531,4873,464,76,3247,5,273,4.66
"632",2021-11-27,6631,6115426,251,334782,4854,447,71,3249,2,224,3.92
"633",2021-11-28,5057,6120483,229,335011,4842,440,71,3253,4,194,4.81
"634",2021-11-29,5358,6125841,232,335243,4530,445,74,3258,5,195,4.4
"635",2021-11-30,10767,6136608,433,335676,4613,429,75,3261,3,399,4.13
"636",2021-12-01,9470,6146078,363,336039,4531,425,72,3263,2,321,3.92
"637",2021-12-02,9706,6155784,344,336383,4429,400,69,3265,2,303,3.62
"638",2021-12-03,8422,6164206,348,336731,4383,392,65,3267,2,319,4.25
"639",2021-12-04,6956,6171162,247,336978,4397,377,63,3269,2,225,3.59
"640",2021-12-05,5140,6176302,184,337162,4357,382,66,3273,4,165,3.74
"641",2021-12-06,5490,6181792,235,337397,4084,387,67,3275,2,205,4.44
"642",2021-12-07,10714,6192506,385,337782,4119,379,60,3275,0,346,3.73
"643",2021-12-08,10054,6202560,354,338136,4093,373,62,3276,1,319,3.66
"644",2021-12-09,9204,6211764,345,338481,4116,374,64,3277,1,303,3.81
"645",2021-12-10,8536,6220300,312,338793,4133,383,64,3279,2,277,3.84
"646",2021-12-11,6495,6226795,261,339054,4181,367,62,3281,2,234,4.23
"647",2021-12-12,5764,6232559,200,339254,4150,363,63,3282,1,176,3.8
"648",2021-12-13,6433,6238992,275,339529,4011,373,64,3283,1,240,4.57
"649",2021-12-14,10113,6249105,445,339974,4070,368,66,3287,4,380,4.6
"650",2021-12-15,9604,6258709,472,340446,4195,359,64,3288,1,402,5.05
"651",2021-12-16,9710,6268419,553,340999,4416,347,61,3290,2,501,5.8
"652",2021-12-17,10056,6278475,621,341620,4748,338,60,3293,3,568,6.32
"653",2021-12-18,8711,6287186,714,342334,5235,322,65,3296,3,639,8.33
"654",2021-12-19,6509,6293695,569,342903,5617,331,63,3297,1,489,8.85
"655",2021-12-20,7303,6300998,791,343694,6009,338,64,3299,2,714,11
"656",2021-12-21,11541,6312539,1359,345053,7044,337,63,3301,2,1194,11.99
"657",2021-12-22,11893,6324432,1594,346647,8301,331,62,3303,2,1424,13.55
"658",2021-12-23,11558,6335990,1994,348641,9950,335,61,3306,3,1549,17.3
"659",2021-12-24,11475,6347465,2500,351141,12134,324,56,3308,2,558,21.67
"660",2021-12-25,7240,6354705,1586,352727,13528,320,54,3308,0,232,22.1
"661",2021-12-26,4075,6358780,701,353428,14009,325,53,3311,3,240,17.47
"662",2021-12-27,6480,6365260,1406,354834,14971,346,55,3314,3,337,21.82
"663",2021-12-28,9417,6374677,2802,357636,17324,372,50,3317,3,540,30.01
"664",2021-12-29,13270,6387947,4039,361675,20763,394,51,3319,2,694,30.48
"665",2021-12-30,13406,6401353,4460,366135,24589,419,51,3322,3,747,32.96
"666",2021-12-31,12783,6414136,4443,370578,28328,417,51,3323,1,976,34.55
"667",2022-01-01,9466,6423602,3242,373820,30961,430,54,3326,3,694,34.35
"668",2022-01-02,7088,6430690,1988,375808,32236,458,56,3330,4,666,27.99
"669",2022-01-03,8249,6438939,2959,378767,33767,475,54,3333,3,692,36.22
"670",2022-01-04,12748,6451687,4751,383518,36729,525,59,3336,3,990,37.08
"671",2022-01-05,12373,6464060,4948,388466,39478,547,65,3339,3,800,39.15
"672",2022-01-06,16278,6480338,6380,394846,43074,579,69,3342,3,618,38.33
"673",2022-01-07,15024,6495362,6280,401126,47609,642,72,3346,4,430,41.27
"674",2022-01-08,16282,6511644,6254,407380,53641,661,76,3347,1,380,38.34
"675",2022-01-09,13899,6525543,5391,412771,57282,692,75,3349,2,110,38.66
"676",2022-01-10,12201,6537744,4762,417533,58613,708,80,3352,3,7,38.45
